Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
42,2.0,0.0,0.0,184.0,2.0,85.0,2305.0,0.1,53.407,0.0,0.0,312.4234125614166,,,,,,,,,,,,,,,,,,,,,22.482421688242557,16.992509918322455,51.599140839036615,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,250.0,3.0,66.0,2371.0,0.1,43.605000000000004,0.0,0.0,317.35546493530273,,,,,,,,,,,,,,,,,,,,,16.10276231159213,14.122541189584009,42.62742991984468,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,315.0,4.0,65.0,2436.0,0.1,39.605,0.0,0.0,322.2051565647125,,,,,,,,,,,,,,,,,,,,,15.603920777958894,11.931452865129163,38.668042566523155,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,434.0,5.0,119.0,2555.0,0.1,89.606,0.0,0.0,330.62962770462036,,,,,,,,,,,,,,,,,,,,,39.25561292998197,25.805974682950687,85.10470636936451,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,495.0,6.0,61.0,2616.0,0.1,35.106,0.0,0.0,335.0288529396057,,,,,,,,,,,,,,,,,,,,,12.583111215387847,11.192301526145085,34.407210229109324,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,550.0,7.0,55.0,2671.0,0.1,34.806,0.0,0.0,339.139057636261,,,,,,,,,,,,,,,,,,,,,12.27647091585033,11.482309039018007,34.199158216903825,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,612.0,8.0,62.0,2733.0,0.1,33.305,0.0,0.0,343.9233384132385,,,,,,,,,,,,,,,,,,,,,12.978449578657104,10.116905094007437,32.565434429547935,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,669.0,9.0,57.0,2790.0,0.1,36.907999999999994,0.0,0.0,348.2118065357208,,,,,,,,,,,,,,,,,,,,,12.947534802750775,12.38552157360846,36.242439152108275,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,699.0,10.0,30.0,2820.0,0.1,11.406999999999993,0.0,0.0,350.57236671447754,,,,,,,,,,,,,,,,,,,,,3.028128591670728,3.7594551403032823,11.33882244832408,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,773.0,11.0,74.0,2894.0,0.1,50.706,0.0,0.0,355.94102001190186,,,,,,,,,,,,,,,,,,,,,18.455451452509145,16.596521381812728,49.43912540419731,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,896.0,12.0,123.0,3017.0,0.1,75.20699999999997,0.0,0.0,364.73584151268005,,,,,,,,,,,,,,,,,,,,,31.601596937478515,22.951409119965625,71.46285782949126,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1028.0,13.0,132.0,3149.0,0.1,78.705,0.0,0.0,374.0953288078308,,,,,,,,,,,,,,,,,,,,,36.105865187320184,22.396720618043624,74.08712596006792,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1140.0,14.0,112.0,3261.0,0.1,47.205000000000034,0.0,0.0,382.277791261673,,,,,,,,,,,,,,,,,,,,,18.64363656003783,12.700826559004641,45.207282062117955,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1204.0,15.0,64.0,3325.0,0.1,47.305,0.0,0.0,387.0960912704468,,,,,,,,,,,,,,,,,,,,,18.703451251708074,15.420958136669267,46.20033358673057,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1272.0,16.0,68.0,3393.0,0.1,29.10600000000003,0.0,0.0,392.1079752445221,,,,,,,,,,,,,,,,,,,,,10.095595060983188,8.43800634620002,28.47642390724373,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1347.0,17.0,75.0,3468.0,0.1,27.308000000000014,0.0,0.0,397.5277211666107,,,,,,,,,,,,,,,,,,,,,10.6927687560834,7.492461606207241,26.559134052264223,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1377.0,18.0,30.0,3498.0,0.1,11.806999999999993,0.0,0.0,400.12308716773987,,,,,,,,,,,,,,,,,,,,,3.226734640177368,3.9079880618392884,11.733653534209566,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1496.0,19.0,119.0,3617.0,0.1,100.00499999999997,0.0,0.0,408.5261580944061,,,,,,,,,,,,,,,,,,,,,41.99923429071283,30.866834842064506,95.19739070342129,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1619.0,20.0,123.0,3740.0,0.1,86.30399999999997,0.0,0.0,417.2236692905426,,,,,,,,,,,,,,,,,,,,,33.41255253387018,25.840846158960634,82.35889146236721,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,234.0,1.0,234.0,3974.0,0.1,144.10699999999994,0.0,0.0,545.9340841770172,,,,,,,,,,,,,,,,,,,,,64.54839498195241,37.38119462302366,129.26106845005486,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,402.0,2.0,168.0,4142.0,0.1,100.40499999999992,0.0,0.0,557.8244116306305,,,,,,,,,,,,,,,,,,,,,43.80056031715898,28.231975014909132,93.23287839062017,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,523.0,3.0,121.0,4263.0,0.1,103.70499999999998,0.0,0.0,566.6945836544037,,,,,,,,,,,,,,,,,,,,,44.84907029275019,31.326862046212195,98.47511424795893,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,584.0,4.0,61.0,4324.0,0.1,39.506,0.0,0.0,571.2504136562347,,,,,,,,,,,,,,,,,,,,,14.505378531292303,12.858744664800078,38.69853027160411,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,613.0,5.0,29.0,4353.0,0.1,12.305999999999994,0.0,0.0,573.5078716278076,,,,,,,,,,,,,,,,,,,,,3.5086217264727595,4.139744551509418,12.228695131500162,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,699.0,6.0,86.0,4439.0,0.1,44.40500000000003,0.0,0.0,579.8168301582336,,,,,,,,,,,,,,,,,,,,,15.731528881286561,12.338013413317018,43.13832202193118,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,741.0,7.0,42.0,4481.0,0.1,18.00600000000003,0.0,0.0,583.0623071193695,,,,,,,,,,,,,,,,,,,,,4.979098654309,5.779623923875484,17.83252507414224,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,806.0,8.0,65.0,4546.0,0.1,48.605999999999995,0.0,0.0,588.0929870605469,,,,,,,,,,,,,,,,,,,,,19.162837990815788,15.91680936842377,47.455278632583514,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,889.0,9.0,83.0,4629.0,0.1,39.50600000000003,0.0,0.0,594.0249733924866,,,,,,,,,,,,,,,,,,,,,14.692759733045923,10.660541237740823,38.363188956882006,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,961.0,10.0,72.0,4701.0,0.1,48.307,0.0,0.0,599.2566938400269,,,,,,,,,,,,,,,,,,,,,17.213702707486476,15.939828842075228,47.16189002321737,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,996.0,11.0,35.0,4736.0,0.1,15.806999999999993,0.0,0.0,601.9787471294403,,,,,,,,,,,,,,,,,,,,,4.622435854528335,5.235913209383014,15.67655217288511,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1253.0,12.0,257.0,4993.0,0.1,138.4049999999998,0.0,0.0,619.8458931446075,,,,,,,,,,,,,,,,,,,,,56.22065102316533,35.444174699380554,124.20457763774439,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1439.0,13.0,186.0,5179.0,0.1,120.20599999999988,0.0,0.0,632.7014799118042,,,,,,,,,,,,,,,,,,,,,51.62669363273572,31.12267341551315,110.82497410755221,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1559.0,14.0,120.0,5299.0,0.1,62.30600000000005,0.0,0.0,641.1664662361145,,,,,,,,,,,,,,,,,,,,,21.639108205547725,16.959674031160553,59.828904996422146,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1749.0,15.0,190.0,5489.0,0.1,90.51300000000005,0.0,0.0,654.4529616832733,,,,,,,,,,,,,,,,,,,,,41.338487902273144,22.827284998761332,82.8242529802757,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
